| table_name                  | column_name                      | data_type                   | character_maximum_length | is_nullable | column_default                                                      |
| --------------------------- | -------------------------------- | --------------------------- | ------------------------ | ----------- | ------------------------------------------------------------------- |
| assignment_submissions      | id                               | uuid                        | null                     | NO          | gen_random_uuid()                                                   |
| assignment_submissions      | assignment_id                    | uuid                        | null                     | NO          | null                                                                |
| assignment_submissions      | student_id                       | uuid                        | null                     | NO          | null                                                                |
| assignment_submissions      | submission_file_url              | text                        | null                     | YES         | null                                                                |
| assignment_submissions      | submission_file_name             | text                        | null                     | YES         | null                                                                |
| assignment_submissions      | submitted_at                     | timestamp with time zone    | null                     | YES         | null                                                                |
| assignment_submissions      | marks_obtained                   | numeric                     | null                     | YES         | null                                                                |
| assignment_submissions      | feedback                         | text                        | null                     | YES         | null                                                                |
| assignment_submissions      | graded_by                        | uuid                        | null                     | YES         | null                                                                |
| assignment_submissions      | graded_at                        | timestamp with time zone    | null                     | YES         | null                                                                |
| assignment_submissions      | created_at                       | timestamp with time zone    | null                     | YES         | now()                                                               |
| assignments                 | id                               | uuid                        | null                     | NO          | gen_random_uuid()                                                   |
| assignments                 | title                            | text                        | null                     | NO          | null                                                                |
| assignments                 | description                      | text                        | null                     | YES         | null                                                                |
| assignments                 | subject_id                       | uuid                        | null                     | YES         | null                                                                |
| assignments                 | class_id                         | uuid                        | null                     | YES         | null                                                                |
| assignments                 | file_url                         | text                        | null                     | NO          | null                                                                |
| assignments                 | file_name                        | text                        | null                     | NO          | null                                                                |
| assignments                 | due_date                         | date                        | null                     | NO          | null                                                                |
| assignments                 | total_marks                      | integer                     | null                     | NO          | 100                                                                 |
| assignments                 | created_by                       | uuid                        | null                     | YES         | null                                                                |
| assignments                 | school_id                        | uuid                        | null                     | YES         | null                                                                |
| assignments                 | created_at                       | timestamp with time zone    | null                     | YES         | now()                                                               |
| attendance                  | id                               | uuid                        | null                     | NO          | gen_random_uuid()                                                   |
| attendance                  | student_id                       | uuid                        | null                     | NO          | null                                                                |
| attendance                  | class_id                         | uuid                        | null                     | NO          | null                                                                |
| attendance                  | date                             | date                        | null                     | NO          | null                                                                |
| attendance                  | status                           | text                        | null                     | NO          | null                                                                |
| attendance                  | remarks                          | text                        | null                     | YES         | null                                                                |
| attendance                  | marked_by                        | uuid                        | null                     | NO          | null                                                                |
| attendance                  | school_id                        | uuid                        | null                     | YES         | null                                                                |
| attendance                  | marked_at                        | timestamp with time zone    | null                     | YES         | now()                                                               |
| attendance                  | created_at                       | timestamp with time zone    | null                     | YES         | now()                                                               |
| bulk_enrollment_uploads     | id                               | uuid                        | null                     | NO          | gen_random_uuid()                                                   |
| bulk_enrollment_uploads     | school_id                        | uuid                        | null                     | NO          | null                                                                |
| bulk_enrollment_uploads     | uploaded_by                      | uuid                        | null                     | NO          | null                                                                |
| bulk_enrollment_uploads     | file_name                        | character varying           | 255                      | NO          | null                                                                |
| bulk_enrollment_uploads     | file_url                         | text                        | null                     | NO          | null                                                                |
| bulk_enrollment_uploads     | file_type                        | character varying           | 50                       | YES         | null                                                                |
| bulk_enrollment_uploads     | status                           | character varying           | 50                       | YES         | 'pending'::character varying                                        |
| bulk_enrollment_uploads     | total_records                    | integer                     | null                     | YES         | 0                                                                   |
| bulk_enrollment_uploads     | processed_records                | integer                     | null                     | YES         | 0                                                                   |
| bulk_enrollment_uploads     | successful_records               | integer                     | null                     | YES         | 0                                                                   |
| bulk_enrollment_uploads     | failed_records                   | integer                     | null                     | YES         | 0                                                                   |
| bulk_enrollment_uploads     | errors                           | jsonb                       | null                     | YES         | null                                                                |
| bulk_enrollment_uploads     | skip_fees_verification           | boolean                     | null                     | YES         | true                                                                |
| bulk_enrollment_uploads     | auto_create_parents              | boolean                     | null                     | YES         | true                                                                |
| bulk_enrollment_uploads     | default_class_id                 | uuid                        | null                     | YES         | null                                                                |
